Model,Cited Reference Count,"Times Cited, All Databases",Publication Year
ResNet,11,1,2018
ResNet,24,11,2018
ResNet,19,3,2018
ResNet,31,5,2018
ResNet,19,1,2018
ResNet,17,71,2018
ResNet,15,1,2018
ResNet,14,5,2018
ResNet,28,1,2018
ResNet,11,1,2018
ResNet,17,5,2018
ResNet,30,7,2018
ResNet,10,1,2018
ResNet,62,20,2018
ResNet,33,17,2018
ResNet,30,41,2018
ResNet,24,1,2018
ResNet,20,0,2018
ResNet,9,15,2018
ResNet,11,8,2018
ResNet,28,5,2018
ResNet,30,7,2018
ResNet,34,218,2018
ResNet,13,1,2018
ResNet,30,9,2018
ResNet,28,34,2018
ResNet,27,229,2018
ResNet,26,4,2018
ResNet,35,2,2018
ResNet,23,22,2018
ResNet,27,14,2018
ResNet,17,5,2018
ResNet,24,3,2018
ResNet,19,101,2018
ResNet,16,19,2018
ResNet,19,8,2018
ResNet,36,23,2018
ResNet,28,5,2018
ResNet,71,7,2018
ResNet,57,152,2018
ResNet,47,41,2018
ResNet,33,11,2018
ResNet,42,20,2018
ResNet,58,39,2018
ResNet,54,47,2018
ResNet,50,228,2018
ResNet,32,104,2018
ResNet,32,48,2018
ResNet,38,17,2018
ResNet,34,11,2018
ResNet,35,59,2018
ResNet,51,12,2018
ResNet,54,42,2018
ResNet,16,7,2018
ResNet,36,9,2018
ResNet,91,39,2018
ResNet,48,104,2018
ResNet,31,22,2018
ResNet,47,33,2018
ResNet,74,66,2018
ResNet,37,1,2018
ResNet,20,0,2018
ResNet,47,66,2018
ResNet,38,80,2018
ResNet,51,203,2018
ResNet,47,14,2018
ResNet,27,253,2018
ResNet,43,15,2018
ResNet,72,5,2018
ResNet,59,70,2018
ResNet,51,206,2018
ResNet,39,25,2018
ResNet,49,14,2018
ResNet,28,14,2018
ResNet,41,0,2018
ResNet,30,6,2018
ResNet,24,133,2018
ResNet,64,20,2018
ResNet,63,28,2018
ResNet,66,42,2018
ResNet,50,17,2018
ResNet,39,23,2018
ResNet,36,132,2018
ResNet,46,14,2018
ResNet,59,8,2018
ResNet,25,14,2018
ResNet,53,53,2018
ResNet,96,79,2018
ResNet,34,2,2018
ResNet,45,5,2018
ResNet,29,7,2018
ResNet,34,31,2018
ResNet,73,12,2018
ResNet,20,2,2018
ResNet,41,43,2018
ResNet,50,80,2018
ResNet,33,6,2018
ResNet,59,66,2018
ResNet,30,39,2018
ResNet,82,6,2018
ResNet,45,11,2018
ResNet,38,42,2018
ResNet,32,102,2018
ResNet,25,131,2018
ResNet,14,6,2018
ResNet,39,14,2018
ResNet,46,30,2018
ResNet,49,95,2018
ResNet,43,29,2018
ResNet,16,5,2018
ResNet,40,8,2018
ResNet,44,100,2018
ResNet,46,5,2018
ResNet,57,17,2018
ResNet,45,33,2018
ResNet,16,4,2018
ResNet,27,3,2018
ResNet,45,1,2018
ResNet,30,31,2018
ResNet,33,54,2018
ResNet,24,18,2018
ResNet,36,2,2018
ResNet,31,16,2018
ResNet,29,1,2018
ResNet,45,100,2018
ResNet,56,21,2018
ResNet,21,3,2018
ResNet,35,7,2018
ResNet,51,7,2018
ResNet,29,6,2018
ResNet,45,2,2019
ResNet,35,4,2019
ResNet,33,0,2019
ResNet,30,45,2019
ResNet,35,0,2019
ResNet,21,0,2019
ResNet,32,5,2019
ResNet,13,5,2019
ResNet,22,3,2019
ResNet,13,10,2019
ResNet,32,1,2019
ResNet,26,2,2019
ResNet,65,44,2019
